SEQ,LINK_NO,CASE_REF,CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_PAN,WEEK_START,AGGREGATE_CASH,P_SUSPICIOUS,RULE_THEN,THRESHOLD_THEN,RULE_NOW,THRESHOLD_NOW,CITATION,WHY_NO_ALERT,AGGRAVATING,MITIGATING,EVIDENCE,CONTENT_HASH,CHAIN_HASH
153,138,CU-100310|2026-03-09,CU-100310,Customer 100310,AXBYB3432D,2026-03-09,876662.2,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      876,662 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 5.32 times declared monthly income for a salaried IT professional—an occupation with no legitimate cash-handling requirement. This extreme disproportionality, combined with 80% of deposits sitting just below round numbers (classic threshold avoidance) and 55% of funds being rapidly transferred out via electronic channels, forms a textbook structuring pattern inconsistent with any plausible salary-based activity.","The activity shows moderate week-to-week volatility (0.31) rather than the sharp bursts typical of pure structuring, and cash appears in only 42% of weeks over six months, suggesting some organic pattern rather than continuous layering. The customer maintains a low internal risk rating with only 3 prior alerts over their history, and uses just 2 branches—behavior more consistent with someone supplementing declared income through informal side business (tutoring, freelance work common in IT sector) than a dedicated money mule.","{
  ""avg_deposit"": 175332,
  ""cash_vs_monthly_income"": 5.32,
  ""days_since_kyc"": 554,
  ""declared_annual_income"": 1976000,
  ""deposits_just_under_round_pct"": 80,
  ""distinct_branches_used"": 2,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Salaried - IT"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.55,
  ""prior_alert_count"": 3,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 3.100000000000000e-01,
  ""weeks_since_cash_began"": 13,
  ""weeks_with_cash_activity_pct"": 42.3
}",a7c68e839a7a1ceb385d126216b24e2f6fa29479e942ba2501d15868d46be169,cdaf4b7506c3f6d43fe342521d69edffd0a7c357952f4e8ae8a03ddb6609b934
154,139,CU-100318|2025-07-07,CU-100318,Customer 100318,CSADS3154C,2025-07-07,841201.82,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      841,202 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash activity is 14.61 times the declared monthly income for a retired individual with no legitimate cash-intensive business, yet 87.5% of deposits sit just below round numbers (classic structuring behavior) and 54% is rapidly transferred out via electronic channels—a pattern inconsistent with genuine retirement cash needs.","The activity shows moderate regularity over 26 weeks (50% of weeks active, volatility 0.23) rather than the sudden burst typical of pure structuring, and the customer has been engaging in this pattern for 24 weeks, suggesting an established—if undeclared—cash-generating activity rather than a one-off laundering scheme.","{
  ""avg_deposit"": 105150,
  ""cash_vs_monthly_income"": 14.61,
  ""days_since_kyc"": 561,
  ""declared_annual_income"": 691000,
  ""deposits_just_under_round_pct"": 87.5,
  ""distinct_branches_used"": 2,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.54,
  ""prior_alert_count"": 3,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.300000000000000e-01,
  ""weeks_since_cash_began"": 24,
  ""weeks_with_cash_activity_pct"": 50
}",144f7070a34350e36af2b13953495ed3b66b4f770b5e1382c1f9064c71cff080,78ab70e4af35e8555d8f696dc4a2329b08c1d02816828a339ffd661f804466ff
155,140,CU-100318|2025-08-18,CU-100318,Customer 100318,CSADS3154C,2025-08-18,976244.69,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      976,245 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 16.95 times declared monthly income for a retired individual with no legitimate cash-intensive business, yet 75% of deposits sit just below round numbers and 54% is rapidly transferred out via electronic channels—classic structuring with quick layering that is wholly inconsistent with retirement income.","The activity has been running for 25 weeks with moderate volatility (0.22) showing some consistency, cash appears in 50% of weeks suggesting a semi-regular pattern rather than a one-off burst, and funds are not completely drained (46% retained), which could indicate the customer is acting as a collector or intermediary for a family business not reflected in their personal income declaration.","{
  ""avg_deposit"": 244061,
  ""cash_vs_monthly_income"": 16.95,
  ""days_since_kyc"": 603,
  ""declared_annual_income"": 691000,
  ""deposits_just_under_round_pct"": 75,
  ""distinct_branches_used"": 2,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.54,
  ""prior_alert_count"": 3,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.200000000000000e-01,
  ""weeks_since_cash_began"": 25,
  ""weeks_with_cash_activity_pct"": 50
}",36bf70256db50268c3c6163c620cba32c6af740f645d5dc6cbbf9c4a3ad66e32,3fb4cae4fef7151a08180b5fbdf50736ad905852e12aa51ff68225225c9a45f0
156,141,CU-100318|2025-09-01,CU-100318,Customer 100318,CSADS3154C,2025-09-01,953130.24,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      953,130 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash activity is 16.55 times the declared monthly income for a retired individual with no legitimate cash-intensive business, yet 87.5% of deposits sit just below round numbers (classic structuring behavior), and over half the deposited cash is immediately transferred out electronically rather than retained for business expenses.","The activity shows moderate regularity over 26 weeks (appearing in 54% of weeks with volatility of 0.2), suggesting an ongoing pattern rather than a sudden burst, and the customer maintains a medium (not high) risk rating despite 3 prior alerts that apparently did not result in account closure or escalation.","{
  ""avg_deposit"": 119141,
  ""cash_vs_monthly_income"": 16.55,
  ""days_since_kyc"": 617,
  ""declared_annual_income"": 691000,
  ""deposits_just_under_round_pct"": 87.5,
  ""distinct_branches_used"": 2,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.54,
  ""prior_alert_count"": 3,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.000000000000000e-01,
  ""weeks_since_cash_began"": 24,
  ""weeks_with_cash_activity_pct"": 53.8
}",7c84d0f3f390112902c726cb06c62e18218f67f72e886dd74f40e7e80bb12560,5cabe1c2ff488d2557c3d5ddb62bd5ca1cad7a202e676ba2bfa4aa3a660b3599
157,142,CU-100318|2025-09-15,CU-100318,Customer 100318,CSADS3154C,2025-09-15,813662.78,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      813,663 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.",All 8 deposits sit just below round numbers (100% threshold-avoidance pattern) combined with cash volume 14× monthly declared income for a retired person with no plausible cash-generating business—this is the textbook signature of structured placement designed to evade reporting.,"The 57.7% weekly activity rate over 26 weeks shows sustained, semi-regular pattern rather than a sudden burst, and 47% of funds remain in the account rather than immediate outflow—consistent with someone managing ongoing (albeit undeclared) economic activity like informal trade, rental income, or family pooling rather than pure pass-through laundering.","{
  ""avg_deposit"": 101708,
  ""cash_vs_monthly_income"": 14.13,
  ""days_since_kyc"": 631,
  ""declared_annual_income"": 691000,
  ""deposits_just_under_round_pct"": 100,
  ""distinct_branches_used"": 2,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.53,
  ""prior_alert_count"": 3,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.000000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 57.7
}",71868822bf2970e004dbacb0de842cef88fb51b88a4dd67f42459ef1c2a5b17c,f9cebfcf2ede5ea182c9c9c4efba94949a7ada0c61e6932b374f70e05ca6d1ab
158,143,CU-100318|2025-09-22,CU-100318,Customer 100318,CSADS3154C,2025-09-22,832424.76,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      832,425 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","Cash volume is 14.46 times declared monthly income for a retired individual with no plausible cash-intensive business, creating an extreme mismatch between declared profile and observed activity that cannot be explained by normal retirement income sources.","Cash activity has been consistent over 26 weeks (present in 58% of weeks) with relatively low volatility (0.19), suggesting an established pattern rather than sudden bursts typical of structuring, and only 52% is transferred out—meaning nearly half is retained, which is more consistent with genuine business liquidity needs than pure layering.","{
  ""avg_deposit"": 208106,
  ""cash_vs_monthly_income"": 14.46,
  ""days_since_kyc"": 638,
  ""declared_annual_income"": 691000,
  ""deposits_just_under_round_pct"": 25,
  ""distinct_branches_used"": 2,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.52,
  ""prior_alert_count"": 3,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 1.900000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 57.7
}",939df5f1d46f0bab928a48d42fc30c1ae96214c3050101b9389fa20afdcdee61,603ed8a32fcd5a86fe1bd378d8caac3e7ec9677196f7396219793202adee1e01
159,144,CU-100318|2025-11-10,CU-100318,Customer 100318,CSADS3154C,2025-11-10,887614.21,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      887,614 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 15.41 times declared monthly income for a retired individual with no legitimate cash-intensive business, and 58% of deposited cash is immediately transferred out via electronic channels—classic layering behavior inconsistent with retirement income patterns.","The activity shows moderate regularity over 26 weeks (57.7% of weeks active with volatility of 0.26), suggesting an ongoing pattern rather than sudden bursts. The customer may have undeclared but legitimate cash income sources common in retirement (rental income collected in cash, small trade, family support) that were not updated during KYC.","{
  ""avg_deposit"": 147936,
  ""cash_vs_monthly_income"": 15.41,
  ""days_since_kyc"": 687,
  ""declared_annual_income"": 691000,
  ""deposits_just_under_round_pct"": 16.7,
  ""distinct_branches_used"": 2,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.58,
  ""prior_alert_count"": 5,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.600000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 57.7
}",46287ab8dd7085a21ced17e27f92405a1069f1b8e682a12103317039257fd75c,1446a957ac6938d14171cd290e3d97added04e444677780fceef86ea43c847c5
160,145,CU-100318|2026-02-02,CU-100318,Customer 100318,CSADS3154C,2026-02-02,807890.04,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      807,890 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash activity is 14 times the declared monthly income for a retired individual with no legitimate cash-intensive business, yet 85.7% of deposits sit just below round numbers—a classic structuring signature—and over half the deposited cash is immediately transferred out electronically, indicating layering rather than business use.","The activity shows moderate regularity over 26 weeks (50% of weeks active, volatility 0.24) rather than the sudden burst typical of pure structuring, and 48% of funds remain in the account, suggesting some operational business purpose—the customer may be operating an undeclared cash business common among retirees (small trade, rental income collection for others, informal lending) where income declaration lags reality.","{
  ""avg_deposit"": 115413,
  ""cash_vs_monthly_income"": 14.03,
  ""days_since_kyc"": 771,
  ""declared_annual_income"": 691000,
  ""deposits_just_under_round_pct"": 85.7,
  ""distinct_branches_used"": 2,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.52,
  ""prior_alert_count"": 7,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.400000000000000e-01,
  ""weeks_since_cash_began"": 24,
  ""weeks_with_cash_activity_pct"": 50
}",305fe0a18443469946b070e7fb1ddad6020ab07441f4c74914ac0663ee0b650f,ed31195897bb5a8fd4aa0ef1700f7227ffde13aa7f0d7b9c81679d26b64622c7
161,146,CU-100318|2026-04-06,CU-100318,Customer 100318,CSADS3154C,2026-04-06,893687.14,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      893,687 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash activity is 15.52 times declared monthly income for a retired individual with no legitimate cash-intensive business, yet 83.3% of deposits sit just below round numbers—a classic structuring signature—combined with 48% rapid outward transfer and 9 prior alerts suggesting a pattern of suspicious behavior.","The cash activity has been present for 25 weeks with moderate regularity (57.7% of weeks) and relatively low volatility (0.28), suggesting an established pattern rather than a sudden burst; the customer may have undeclared but legitimate cash income common among retirees in India (pension collection for others, small trade, agricultural income, or family pooling) that was simply not updated in KYC records that are 834 days stale.","{
  ""avg_deposit"": 148948,
  ""cash_vs_monthly_income"": 15.52,
  ""days_since_kyc"": 834,
  ""declared_annual_income"": 691000,
  ""deposits_just_under_round_pct"": 83.3,
  ""distinct_branches_used"": 2,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.48,
  ""prior_alert_count"": 9,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.800000000000000e-01,
  ""weeks_since_cash_began"": 25,
  ""weeks_with_cash_activity_pct"": 57.7
}",e56c7f3bb4270dd761778b85dfa91b70d322e6cc75ff58af35ac84e2d379b25e,4db37f8b5971f9fba4afa9c9f8df389c5a696c19fd7a1ed3cdbc123b51af00b5
162,147,CU-100318|2026-04-27,CU-100318,Customer 100318,CSADS3154C,2026-04-27,870649.17,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      870,649 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","Cash volume is 15× declared monthly income for a retired person with no plausible cash-intensive business, and 80% of deposits sit just below round numbers—classic threshold avoidance structuring.","Cash activity has been consistent over 26 weeks with moderate volatility (0.29), suggesting an established pattern rather than a sudden burst; only 48% is transferred out, meaning funds are retained in the account rather than immediately layered.","{
  ""avg_deposit"": 174130,
  ""cash_vs_monthly_income"": 15.12,
  ""days_since_kyc"": 855,
  ""declared_annual_income"": 691000,
  ""deposits_just_under_round_pct"": 80,
  ""distinct_branches_used"": 2,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.48,
  ""prior_alert_count"": 10,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.900000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 65.4
}",e658991a76e3f3f6f25162e25f684f1b49312a67a634f4fd640566254c65e35d,617d82cff2b5132d24bdeb6508a5708783eb637004329df600cf908bdc7c12a8
163,148,CU-100319|2025-07-14,CU-100319,Customer 100319,DMCGN7539B,2025-07-14,825760.46,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      825,760 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 60 times declared monthly income for a retired person with no plausible cash-intensive business, and 52% of deposited cash is immediately transferred out via electronic channels—classic layering behavior where cash is converted and quickly moved rather than retained for legitimate business expenses.","The activity shows reasonable temporal consistency (61.5% of weeks active over 26 weeks, moderate volatility of 0.29) suggesting an ongoing pattern rather than sudden bursts, and only 50% of deposits sit just below round thresholds—far from the structured precision typical of deliberate smurfing where nearly all transactions would cluster at threshold boundaries.","{
  ""avg_deposit"": 412880,
  ""cash_vs_monthly_income"": 60.42,
  ""days_since_kyc"": 301,
  ""declared_annual_income"": 164000,
  ""deposits_just_under_round_pct"": 50,
  ""distinct_branches_used"": 3,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.52,
  ""prior_alert_count"": 3,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.900000000000000e-01,
  ""weeks_since_cash_began"": 24,
  ""weeks_with_cash_activity_pct"": 61.5
}",9b8f8924c35dbae601b515d5e35222b2ebec5b92265f848d57d2740d2151fb96,b0bb886502022808a26172f0c539157627d1815bdd7abb18e94a4006ec56717b
164,149,CU-100319|2025-08-04,CU-100319,Customer 100319,DMCGN7539B,2025-08-04,842712.29,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      842,712 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 61.66 times declared monthly income for a retired individual with no legitimate cash-intensive business, yet 57% of deposited cash is immediately transferred out via electronic channels—classic layering behavior where cash is converted and quickly moved rather than retained for operating expenses.","The activity shows moderate regularity over 26 weeks (65.4% of weeks active with relatively low volatility of 0.29), suggesting an established pattern rather than sudden bursts typical of structuring, and the customer has been using multiple branches consistently, which could indicate legitimate geographic business activity rather than evasion.","{
  ""avg_deposit"": 421356,
  ""cash_vs_monthly_income"": 61.66,
  ""days_since_kyc"": 322,
  ""declared_annual_income"": 164000,
  ""deposits_just_under_round_pct"": 50,
  ""distinct_branches_used"": 3,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.57,
  ""prior_alert_count"": 4,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.900000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 65.4
}",0ee09ba17e1424ed7a76b07fd9c58d6872c032c1d2679d91532100c41c5d49e7,0e904013c50a2b1eaec1572c88c57b378c53659258a80d718027819a345ee41f
165,150,CU-100319|2025-09-08,CU-100319,Customer 100319,DMCGN7539B,2025-09-08,921805.23,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      921,805 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","Cash volume is 67.45 times declared monthly income for a retired individual with no plausible cash-intensive business, and 80% of deposits sit just below round numbers—classic threshold avoidance structuring.","Cash activity has been consistent over 26 weeks with moderate volatility (0.29), suggesting an established pattern rather than a sudden burst; 44% of funds remain in the account rather than immediate outflow, and the regularity (69% of weeks active) resembles ongoing business activity that may simply be undeclared or informally operated.","{
  ""avg_deposit"": 184361,
  ""cash_vs_monthly_income"": 67.45,
  ""days_since_kyc"": 357,
  ""declared_annual_income"": 164000,
  ""deposits_just_under_round_pct"": 80,
  ""distinct_branches_used"": 3,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.56,
  ""prior_alert_count"": 5,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.900000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 69.2
}",1c0f0a693be93a06a5f4544bc607d1cae0bd6127a2b764220ac10fdae2cf09f4,997cc9c1e24276e21e7b93d1514ed2ae5c886a3a8c36c7d8d3883d9ced3a63ad
166,151,CU-100319|2025-10-06,CU-100319,Customer 100319,DMCGN7539B,2025-10-06,855470.68,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      855,471 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","Cash volume is 62.6 times declared monthly income for a retired individual with no plausible cash-intensive business, making the activity fundamentally disproportionate to the customer profile","Cash activity has been sustained over 25 weeks with 61.5% weekly presence and moderate volatility (0.27), suggesting an established pattern rather than a sudden burst typical of structuring","{
  ""avg_deposit"": 213868,
  ""cash_vs_monthly_income"": 62.6,
  ""days_since_kyc"": 385,
  ""declared_annual_income"": 164000,
  ""deposits_just_under_round_pct"": 25,
  ""distinct_branches_used"": 3,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.58,
  ""prior_alert_count"": 5,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.700000000000000e-01,
  ""weeks_since_cash_began"": 25,
  ""weeks_with_cash_activity_pct"": 61.5
}",58f4c815bf6c32f77f03a03a7f8fc173eec13d0c74a5b0f52554d88f8f9525ed,ac43753ed89ea21fda1611b41645be05a9020e6d934e7a4dd947a7f1ca72875d
167,152,CU-100319|2025-11-03,CU-100319,Customer 100319,DMCGN7539B,2025-11-03,805184.75,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      805,185 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 58.92 times declared monthly income for a retired individual with no legitimate cash-intensive business, representing INR 805,185 in a single week against an annual declared income of only INR 164,000. This extreme disproportionality—where one week's cash deposits equal nearly 5 years of declared income—cannot be explained by the stated occupation and strongly suggests undeclared income sources or layering of illicit funds.","The activity shows sustained regularity over 26 weeks with 65.4% of weeks showing cash deposits and moderate volatility (0.26), indicating an established pattern rather than sudden bursts. Only 58% of funds are transferred out (leaving 42% retained), none of the deposits cluster just below reporting thresholds, and the customer uses multiple branches—all consistent with genuine business operations where the customer may have failed to update their occupation/income details after starting a cash-based trade or receiving family business income.","{
  ""avg_deposit"": 161037,
  ""cash_vs_monthly_income"": 58.92,
  ""days_since_kyc"": 413,
  ""declared_annual_income"": 164000,
  ""deposits_just_under_round_pct"": 0,
  ""distinct_branches_used"": 3,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.58,
  ""prior_alert_count"": 5,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.600000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 65.4
}",4f3ee5ac1d0c53a35c1d5a3da5715a5f4148f859a14a7609ed177f88d819c2ac,f89ac78201dd69f783a013a4e3733530e9b3b574651709b7fb4f0b563b545f18
168,153,CU-100319|2026-02-16,CU-100319,Customer 100319,DMCGN7539B,2026-02-16,853011.79,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      853,012 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash activity is 62.42 times the declared monthly income for a retired individual with no legitimate cash-intensive business, and 83.3% of deposits sit just below round numbers—a classic structuring signature designed to evade reporting thresholds.","The cash activity has been present consistently over 26 weeks (appearing in 54% of weeks) with moderate volatility (0.3), suggesting an established pattern rather than a sudden burst. Only 55% of funds are transferred out, meaning nearly half are retained in the account, which is more consistent with working capital for a legitimate undeclared business than pure layering.","{
  ""avg_deposit"": 142169,
  ""cash_vs_monthly_income"": 62.42,
  ""days_since_kyc"": 518,
  ""declared_annual_income"": 164000,
  ""deposits_just_under_round_pct"": 83.3,
  ""distinct_branches_used"": 3,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.55,
  ""prior_alert_count"": 10,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 3.000000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 53.8
}",dd7ce2ecc2683ac0fda42f373eae3e8718eb7400b9178d832c4c8b13d5d8395f,a8ca486179804cf3130f59008c14283ae5a92e74985c8ad947ffc6e74c675f07
169,154,CU-100319|2026-04-06,CU-100319,Customer 100319,DMCGN7539B,2026-04-06,807048.35,0.68,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      807,048 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 59 times declared monthly income for a retired individual with no plausible cash-intensive business, and 85.7% of deposits sit just below round numbers—a classic structuring signature designed to evade reporting thresholds.","The activity has persisted steadily for 26 weeks with moderate volatility (0.29), appearing in 58% of weeks—structuring operations typically show sharper bursts followed by dormancy, whereas this resembles ongoing (if unexplained) economic activity that has become routine.","{
  ""avg_deposit"": 115293,
  ""cash_vs_monthly_income"": 59.05,
  ""days_since_kyc"": 567,
  ""declared_annual_income"": 164000,
  ""deposits_just_under_round_pct"": 85.7,
  ""distinct_branches_used"": 3,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Retired"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.58,
  ""prior_alert_count"": 11,
  ""risk_rating"": ""MEDIUM"",
  ""weekly_volatility"": 2.900000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 57.7
}",42f6f2d880b070d640b935636de016a462f4f0a6ace88a3e12b7ba4c6a8109d4,1690c15f1effaeda07f32149b642c49d6d27903a8fac46f781a0230af90c7778
